TRANSACTION_ID,DATE,DESCRIPTION,TRANSACTION_TYPE_ID,CATEGORY_ID,ACCOUNT_ID,VALUE
27,27/02/2001,AKFAFAJ42B1UVBP4UH7N,6441,5132,3490,15669
28,04/06/2004,25Z5UYZD2SWW8XKR20GJ,5820,534,5091,49069
29,23/05/1988,UQYVZXHCQ4MGNR3GZI03,5895,1998,4707,22878
30,04/08/1993,DKFGAY1ENVLHY28OFNE5,8425,7684,775,40156
31,24/08/1979,RCP0369PBX0J8LDU6QQA,5392,9396,3793,11032
32,03/05/1986,06XD0HCP6QFYL12NJU9W,8530,3629,100,32259
33,18/11/1979,DZDZY9ZJJCXNVJ68EWLZ,8743,9868,3350,45232
34,07/11/1997,9GVRNMN9IENES08FQWNX,9068,5072,8093,47292
35,23/11/1979,SNOG1EF5NUJYF73I5WK4,541,5599,3404,9661
36,23/04/1981,1RXKMH0TRWCFRG1AZNMP,2965,5166,892,34395
37,04/12/2000,770PCDPA5XGC7W73CFUN,4191,2843,9046,23377
38,27/09/1985,Y9T9JBI7JP6B5EYWRCH7,7971,688,6971,43008
39,26/07/1990,3G3KQUB6Y91AEG7VQMUP,845,9232,663,21341
40,14/10/2002,IWRLULR83ZZS7BEXKMXP,1744,2830,1425,3031
41,19/04/1998,92POIYMIN87QXH0D93IS,46,7312,2997,38271
42,08/06/2004,G3PY6WCNZMUQT603AHE3,6173,6192,8114,20381
43,10/01/1984,7OXLT5COG1LNTDFFL1UT,5048,3939,6244,35562
44,01/09/1989,G1FGOWDUUN6DXCQWZJSD,1746,9957,1597,8863
45,29/12/1993,YPQZADHTJDQLOG5DKMPS,6430,4515,866,15997
46,16/09/1986,CEV3P7HZL7LYL22RA32J,8725,843,119,13281
47,23/01/1996,B9QG1R6AINIX6SSX681J,9854,305,1773,28209
48,29/08/1987,19A376WLA2U4BTJ9X7MM,9736,3743,7011,15489
49,15/08/1977,RELUK37HQEPP8L8YFRN1,2154,6815,6001,32967
50,18/07/2004,WS9ZU2JTSK2EFN25EQEY,1742,7975,4697,9376
51,11/12/1985,DFR2ELNETQ9ZVRDOA8TR,7680,9093,2812,17634
52,03/07/1977,6MJC4XZXEN6JB5ZIKN1N,1150,4907,9140,34983
53,08/12/2004,X2QY6QQTKP7AI2J5NIA4,8726,9536,3501,10536
54,15/11/1999,RTXX34CNGRU4D51MHER9,401,3017,6348,48162
55,03/06/1980,5PCSBMMEBX0GYM73QU5D,4214,7072,7140,41185
56,12/05/1978,DIWYVZ2QDSA4ARHL4Y7I,9990,6729,7277,7574
57,23/05/1983,9J7SWRLPKSR71PFIT7MQ,8623,872,7995,11915
58,15/03/1980,OXNJNVLVGRZ4POI2O72I,3553,3451,7971,29593
59,09/06/1983,D1PQOKXWFZEVQSJHC2PN,1939,5295,6474,30893
60,13/09/1999,LG5UX0N4X50MM9WLTOHM,2489,2177,648,10106
61,29/11/1994,0O8JG5CQNLIIH3ZWO8L6,4825,686,3491,41395
62,30/11/1988,Z5683XBUFGX1GGRPXQ5Y,2949,6928,6221,48135
63,20/02/1999,OMVRU89024N2VC6BZ2LE,8711,2561,1783,45050
64,11/09/1985,WG0Q10HM7A7L40MKPLD5,9978,7744,8004,41199
65,28/01/2001,MT5OPD2KI1I2LE6IIS69,4400,6431,4581,34594
66,08/12/1981,085EPTNG7YXFACC17FDK,4266,3436,6367,46939
67,27/03/1985,F49MGN3I92738VPGX2M1,8151,128,856,32664
68,17/03/1990,VJSO7KCR86GITML7Z0A8,8793,3275,6520,17956
69,21/12/1993,FR6C7Z2WFZ8JO0XR0FD7,142,2198,9441,47546
70,19/10/1977,EQFTRWCRWCZ1QH8P7LSO,4716,5887,3121,35058
71,26/09/1977,UQIK2WW1FWKWSD1JLNGD,7637,2756,3669,6206
72,26/02/2001,DA9H68TM6RQVPHO265SV,2769,9980,4610,35725
73,12/08/2004,VTSWMFWG21S82PTVPR3O,2155,6524,4842,34855
74,15/07/1998,XZLGQWT00H0PGBNBB9KU,6942,9441,2316,13672
75,14/06/1988,67SLQAQ4O15SFSOMQTN1,1781,3178,7725,18807
76,22/10/1993,O01D9RP6UERBBRZWS4CR,2372,5488,2117,26426
77,23/11/1992,LCF9GVQZ30H45K0KEKOF,5590,271,651,31357
78,12/09/1989,N30N6L6VHE026F38WMEQ,3686,487,3055,22380
79,16/01/1978,NGOFI7DDGXCZDCXPKP6I,8009,9144,5206,33985
80,23/04/1986,6HB37QOQ2MWSR8XA858M,6576,9450,8030,47556
81,01/03/1985,OKDJJ61U9T3704O1K2FW,3337,3867,9632,35366
82,20/06/1990,4BWC910H2M732P1TVX1U,7212,7375,3653,11645
83,29/08/1977,D1UKB9ZJN438HP0OKSLP,6039,2789,6576,41916
84,07/04/1989,YJYHHI7VDSL3SDEZ1MYM,3028,5049,8216,39499
85,29/09/1986,8XYMNISXO7MQDKVKBIBA,9139,8268,8845,24473
86,18/09/1984,P4JC8PS4JNU8CL1WX32O,3130,5648,7435,14305
87,11/10/1982,0YGWHDDQDEL3774BQAVH,5202,3835,9179,36973
88,20/02/1984,O7A0U731W6P1JPWTSPBM,5020,4588,8763,39070
89,12/06/1983,9ISIYT3K57IIIOHPF61E,8840,6224,9216,9176
90,10/09/1990,1V6Y55V2YN2WU131B0DM,9167,7089,8900,34303
91,29/12/1992,QUBGY3G9K5FA2MWNCYML,6575,127,4859,6324
92,15/08/2002,QUS812QUSGBSF9F4PV34,7335,9297,3254,32551
93,20/06/1989,CM72PHY6AIA4XJ0OIBZW,985,4240,1296,31190
94,28/10/1993,RL106WOWMPGBQPI2BQZZ,1773,3328,1761,39284
95,17/02/1996,MFQNXUO108YQI2Y1N5QE,855,9189,4903,12853
96,25/01/2003,T39CHFB4IC4FT3RDHIDW,3376,9790,3779,47171
97,26/06/1989,2LA2SO255U1H34OL6P2S,623,3970,9041,4278
98,25/07/1985,DMA4X76IA85WCLN9RERQ,1218,6769,3283,13764
99,24/03/1981,QRUXIGJZQ27JF3Y0IR1S,365,5973,5493,28080
100,28/02/1979,Z7S96SGX29VSIJH0MC4A,8383,1936,5723,19465
101,25/02/1999,498597CMG0XUM8GRXI85,2707,146,9905,16155
102,28/03/1994,I6M9MZNR07WKC827WZ0E,5710,7528,3995,30700
103,24/05/2003,UE1YS22ENGSO0I2484CB,8764,464,258,3736
104,09/11/1984,N80FUHAAB9YYZFIWUK1N,9797,7976,5904,17383
105,17/02/2001,8LVMMRIX5RQX58AM2F5I,3778,1801,9998,5599
106,05/07/2002,94ABKW1FELBIETCXWQ2U,8901,4294,8465,39786
107,15/06/1981,5GWITFWT3IGVDZAQWVOI,5043,8135,2744,36905
108,15/12/1993,YMKWCX6HSQR42SI9BFPP,4591,388,9537,1296
109,21/08/2004,9TVMM9V7PWE7K2PNOAPQ,9985,6919,7493,12505
110,06/12/1991,1J7Q8ZMSMIVIUU05I50K,1474,1723,7811,44525
111,04/07/1986,8LB38NKOCXJW4H2DWG2Z,7769,598,2138,47576
112,20/09/1989,YXAWJPN0OEAY7W3H79U7,3490,1693,7065,1496
113,12/03/2001,48NA3QJTBM7GWVQCGRZT,8091,1034,804,49465
114,30/12/1992,KYEGO0QZ888HUGLHP8QG,4177,648,4732,24142
115,29/07/1979,YXM2YDXQ5BG0EJTMGT36,3744,5573,3271,42515
116,12/10/1984,0ZO8KV49J3V4LDS8MZFE,5002,3178,7993,28521
117,18/02/1985,MUQPWIKIJTHH5RXQWJK4,6583,5359,5268,27375
118,08/01/1979,4UZJNTM04MXXTDVH5H2Z,4115,9478,1082,48885
119,06/09/1994,YP879ONBDD5GAO0V6I8P,5036,6640,6805,3904
120,24/12/1977,H12VU7KVPKNCNFLUV16P,2339,2755,8008,21231
121,17/06/1997,I8G3E2BOO8A0JCOZUPF2,5732,3121,2722,43127
122,19/02/2000,QPAXX0LLAUSHL5335YE6,8345,9480,5647,18079
123,20/04/1994,7IMWYQGNX8IQUWKOCRR7,9790,4456,5229,24973
124,15/11/1989,OUA0V42L2XW3AUF9HA2U,3632,5625,1845,38485
125,23/04/2002,9TU7P221P2X4FBQNK8GF,1429,3399,2377,29580
126,03/08/2000,S5GQQXAJXL0NZJBBAISM,7219,296,5523,36548
127,07/08/2004,15PNXWKBBRO1TCSQT6QZ,2668,9971,1613,1752
128,06/04/1985,YNXA9N9OKJGX8U22DGVE,2216,3930,7868,48354
129,15/08/1978,1DKGPQ0X3YSHQF50NGRO,8084,9229,8879,20896
130,20/05/1985,NBJKXGJBYFMR5DZ4Z5L4,260,4760,143,16455
131,11/07/1987,BGRAIYL4KGZ2SN5SPD6I,8143,2161,6264,8553
132,04/12/2001,IG0SWZM7J8WGB8JI0Z78,4042,7927,8975,38038
133,16/09/1999,A55WIPN1HT561VKQH87S,3528,8228,2371,43420
134,30/05/1991,U57AVK52EI9BPG03PY6J,5328,1817,2443,47220
135,11/11/1987,0E8946LNLMPQU2TDG5HM,2192,8241,5676,10636
136,18/05/1982,Q5V663VCD72A4YY7XSF6,191,9654,2599,33257
137,18/08/1987,CI327TXRDH1B6K4QI7R0,8982,6809,7138,11578
138,17/10/1990,3DARKIA7A1YSK4PSRU6S,9970,3622,9833,22915
139,20/10/1990,LHL7G8JGHTKZKERSM794,478,1289,5448,21018
140,13/02/1990,UDI6H7N21MTSVSSMUOOS,9990,1540,4703,4618
141,05/09/1999,CUYNZA01659GESSY8EM3,2794,5292,2169,18547
142,29/09/1995,MY0YQGEFDMOBM21X5QEH,2844,9847,4853,37641
143,18/09/1996,ASK865HWK6FHKBTCYWS5,6604,3287,2092,16281
144,01/02/1999,ST571QVXCPOPO5XQW7OR,2080,9428,5810,49411
145,19/04/1999,A1A6WZ1K0V1A1HJ6SXT9,7781,2962,2966,28763
146,07/01/1995,FFFYSVS11GC7KBIBKR4F,7171,4107,5349,8145
147,15/03/1996,Q7YID8PMH7XPPHSLIRD7,229,8041,1511,29216
148,06/11/1995,R05CDZ7OHNL158TBXAH7,8914,2577,1895,23056
149,29/03/1981,EOHPWG5Y9NMG6CSM7N2R,4300,9486,42,25190
150,17/06/1982,3WAHMTZVI48W2YNU622Q,9804,2624,4511,23877
151,13/10/2001,JDO1NIRS224QVYIXFQY0,7205,6963,969,49630
152,20/01/1985,AVZGIJ3U2I7TSRQRDPU2,9322,2430,294,3308
153,12/02/1990,ZSKLH36TY4C20ZQPJ6BP,1383,8391,2095,49601
154,05/04/1998,IECUTB3YUOABSOPSYSDL,5030,6122,9213,10508
155,15/11/1997,6POQHB3YZH1FQVOFQIV7,642,7947,9143,15348
156,15/09/1985,OOF7KMPY4Y3WVLMZ77MY,6624,6205,2106,18358
157,24/05/1983,NLJUSULF8PV4WRJ71U72,8362,3723,5585,17489
158,01/10/1980,0WWPUNPT9CAWAZN6CCQX,7954,2757,2943,8270
159,13/11/1995,3AQYGAZK4DNXFDXUW5W4,7148,9346,6827,25623
160,01/09/1995,UDMTK8VUM5QUOL0RZ285,1321,9193,3951,9040
161,26/12/1989,EJBNM5F4JW72PGC71836,7635,3493,8358,8319
162,30/06/1993,MAQYKNK0CJ2J2IF0BB3C,8872,6965,1828,38484
163,07/02/1998,73P21GPXN2HC65SCJ5TA,9144,6661,7972,48250
164,04/08/1981,JQKMVOR2XVZOMTJ67C1R,3866,1779,6792,8775
165,30/03/2001,IEHU5S3N3QL2OISG9BAK,422,3935,7514,43504
166,23/10/1995,KVFEDXILNS1HEXP1FQA4,4971,4227,7674,31892
167,15/10/1979,R68AV06I6SZXKH64XCOJ,8776,7221,478,40665
168,17/01/1984,CC340VOMITL1CQ4M1HGQ,3675,737,7130,16699
169,14/03/1987,66BDMFQSQAHIY7WF0OR2,6611,3638,9630,46317
170,08/08/1999,U5IHA5BK4M97VSJQ6MF5,321,1311,6326,49374
171,27/12/1983,DR6SVDKGGE0X7UCLR5Z4,2829,3865,3597,40742
172,21/09/1980,WYMMIWWZAFEGMG0694EL,1155,156,8204,20815
173,14/10/1989,JZV81J7GPK5G93C2EYTQ,4647,8536,4974,29850
174,27/09/1996,DSOUUZHPQ4YJK75HZRGC,1370,10,4845,22844
175,19/11/2004,S8144XXA85IZ48KMHIHD,3789,9973,905,20776
176,30/05/1981,12SJ9JTDPRQ6VK8NI22V,109,7632,7488,43129
177,23/03/1986,C5XL75RVAK4FNNU5QQCY,5947,3319,7259,5692
178,01/01/1985,SJD2VK5NHZYVTF120ID5,5158,8236,5040,7821
179,07/03/1979,GFEHS2FV7B1VI84J47CO,4126,9729,1318,27838
180,06/06/1979,GL3EI3860TM3G7KJZUZB,4185,2815,8653,15698
181,11/04/1996,IFFE6ALVF227SG545KUS,7683,1800,8335,46473
182,11/02/1978,U2CF8HJPQFOIF7AXXRBU,8028,2913,9035,33444
183,03/10/1994,B39WCAK2CJ18WWWBJ13Y,642,3264,693,21765
184,06/08/2001,XKMG7LV983FGF2KTB7VB,7425,4019,5303,20854
185,12/01/1997,SETD7VMCYM5W4SKM8F5F,7438,3094,8086,18837
186,02/10/1992,PVTNE908BJOFE9M5E76K,4811,8478,7815,48795
187,15/05/1996,BUDYUP1XZZMI2FOJ8XI2,6709,1565,7683,17365
188,10/11/2001,ASCJBUTTTM7T7PBJYH11,1750,4540,5344,17132
189,11/04/1979,IVKU07RP15WZ2ZSRIXAT,3713,8306,8632,37158
190,15/04/1999,HA9VZV09EDAX2E54F2TC,8098,8722,390,30937
191,13/03/2003,SP4NCLXKJPZ44708W55P,6651,2460,3519,15874
192,26/08/2002,QBCQEFVZDSPC4009KXNF,4493,5491,3158,7132
193,29/05/1988,O8LK84WA7FBJJ13MQ8N1,594,1878,9528,16227
194,14/12/2000,F9L6TCF1B870P9QUEC44,7158,4398,430,19535
195,17/04/1996,5IKEYWUUQGE2MRBKZNTA,2131,9915,2128,4552
196,22/05/1985,0F6LFMZWXSZVLMNRC5Y0,8633,4786,848,27330
197,27/08/1996,6AL4B7O1XQL6ZURWWLG7,8470,5430,2597,21190
198,13/09/1985,0M9MGWEVWLMZIT1QJUNQ,1627,316,2029,17363
199,05/08/1979,U53KEICOMRXCP8VAG9UO,6882,6782,4972,5652
200,28/01/1991,H8SK4AJ6BMBS2GEZFGKA,1148,7944,3833,31379
201,07/04/1997,NY1QYZ1COWTHWT4FOCOM,3071,2884,4984,47479
202,30/10/1980,QS2PMP2GGKQ22T8IPGBI,5562,6904,667,3406
203,17/02/1981,7DJR36W4DCL5LYJ37IAO,8261,8253,1200,37282
204,16/02/1987,D33P10YJ08L9OOGDU1KJ,2112,9098,737,11517
205,07/11/2001,5N4KYRW6Y4I2JZVUEWOJ,7094,6552,9213,9652
206,30/02/1978,CW2Y8JYJD8WP7N79R4F2,571,3639,6987,35084
207,19/02/1995,P0EGLD3FSQXRPEEZBWBA,1757,8544,7483,6329
208,09/03/1991,HT00XSZCRU3LLCSWSEYG,7879,1464,2541,2333
209,15/08/1983,50KOIP32Z1G3ZD8W8UI4,8180,6030,2706,43579
210,19/04/1994,BWALV0XECA1E65I192U1,9720,1828,2125,34110
211,05/12/2000,VZV1CXOB9D0Z56YUO8A6,4793,6417,2199,2589
212,10/10/1996,HSNC2KUJX2DRO3HTMV1R,5179,467,6800,25860
213,13/02/1994,E57J52WPAG1AM0URW6UL,6486,4898,8098,12818
214,08/01/1985,Q0IS4O679PCCQ3BDFSIC,8834,9138,1623,28220
215,15/02/1983,7N1QF5D081M6JS4WBONC,6091,1542,609,47928
216,27/02/1986,GQGZT6T41GPY32EHJYHG,1987,6222,422,38795
217,02/10/1990,VCVB9515GHRJVDI7VDLR,205,5425,5181,25475
218,11/01/2000,KXCUISVEM1BEBTW2ICY4,1425,7251,6006,9105
219,16/12/1995,SJPKPCEOUJ0YGRBNQ1UH,1253,1077,2419,23772
220,11/11/1986,1XOID6T4TEG5P3735NPQ,7769,7609,7262,8666
221,02/10/1996,HKTKQGWTCJHDNBVVJMYQ,7636,163,5655,2416
222,17/09/1980,KHCY7MQ8B08LQ7B9RV0A,7272,6874,8292,30678
223,09/12/2004,UU314EDHEJK0NZZESC57,9000,742,4557,5294
224,04/04/1996,XZHSWRJLH9J92SO84C36,8570,8209,2969,38831
225,22/12/1979,UFDMV0NSBWDJRA6VPTQ4,9719,7690,3023,35094
226,26/01/1981,9RW4VGN8C9TYID3XJI9O,5059,5449,7613,10870
227,07/02/1986,GEJCHZCU52DTQRFF59D1,8908,9901,589,8403
228,28/07/1984,S16WXP0C36D5DMI9H8T7,4392,1291,2778,5130
229,05/03/1982,OCUGESP0BMIG6V3J7MTW,4329,6864,2478,17636
230,24/02/1989,9Q7FKILGAF1IS7PJV1RN,9487,81,2248,48589
231,29/08/1997,0VDK7L4OHPG4VKZC5ERB,6526,9451,5441,23972
232,27/12/1994,TPNBZ4CS3QU0GV4KJO7Z,5697,1056,3276,32560
233,06/09/1990,SPAKQXAIQPAMZXMBLEBD,8379,458,4816,23324
234,06/11/1986,LFS1S3JDA7NFMUCZN5YH,8718,7227,8201,12942
235,12/09/1991,LYCPI5ZSFR0ONQQSNBHN,2902,2658,4614,41983
236,15/04/1980,L4CO5QATMUAOCZIZ7PII,4503,8573,2199,10196
237,05/03/1983,9FRUF7WUZGAIJIX47DEZ,9351,329,8527,11884
238,14/04/1995,3VWNZAPDXXAEGUYJP9HM,5205,3574,496,33938
239,11/10/1989,K3WS5K1QLT05J3GUWABY,6200,4395,8871,7532
240,01/10/1993,EDRY32VD3KDTYCLW60QH,1315,3061,5614,15989
241,23/04/1989,95RD8ALAKMNJSWUMNGJF,8735,7837,9972,18034
242,03/07/1982,ALMU2PQLHPAJYH2BNLRJ,4402,8318,4485,12403
243,16/07/1987,HZGAELV9C63VT336S9OA,8281,1601,2244,3757
244,21/03/1998,04OF1AL8R94T5NUVWY3T,5299,7953,1712,33271
245,12/06/1980,SLTGT2XEE9MD6SFPD1PC,5929,7082,5706,5486
246,12/12/1981,A3JJWY9UZSQDL80TQUJ9,6722,3506,3772,48331
247,27/06/1990,SEYVBF5VDEX25XSGM93L,526,2397,8065,46271
248,21/10/1989,R1GUB8FVIZM4YW84RD41,8592,2353,9020,7442
249,19/04/1996,0VHKA7UVJ7L41DQ1H0ZS,2036,3272,4127,15866
250,17/07/1998,I2D21OHJ8LP2LJJBHXWH,2991,7164,6332,5451
251,01/05/2003,I5UI8SC6EKVN7FNIB3NR,6437,4113,1659,13711
252,23/04/1984,2060IW1R2TBQVZMTLX93,2893,4970,2902,33520
253,19/12/2002,PKAF55AM491T4GWM7128,2790,2655,1730,34464
254,30/12/1986,KCYG3QEN0KC1044Y38UI,6312,5255,4525,8341
255,10/11/1978,TAYO77IL3FJYHSMWJ9EW,9048,9516,2883,13750
256,13/01/1993,2ZZAALIROI5PP010SUI0,6784,4091,7202,43394
257,01/10/2000,29XWSILBB9WBUMJFYLOX,966,774,4761,43411
258,20/11/2003,LM5G72ZJWY0MEW500MRI,8130,8961,2221,47476
259,17/04/1997,VLPX29YP7MSBO5K0NO8N,2063,4663,7722,9882
260,02/04/1986,TCB1RKHN2AF83MGSXIQ1,9168,9236,7125,22223
261,02/10/1987,S7BOFBMN9DDTUZ3R20P0,4228,6035,4794,31621
262,19/05/1977,KF4JJSVVLUN36230T7Q8,9807,2831,4194,25537
263,11/04/1995,UTYEGGMJ9TWWLWGHLSAS,7648,2388,5097,34469
264,13/09/1979,669EZLZOSQK8C0LQHZD0,7819,764,8178,49025
265,10/09/1985,4GBN2TL3VSH0FCHDZPKA,6887,4047,6828,33622
266,03/11/1998,KY8WUX7GW6SBGCBPIGV6,196,5094,5084,29178
267,19/02/1992,9UXCYFU3TFNHUO4LFMB7,3490,4651,6033,44880
268,05/08/2004,KVRC688WPJW7EGKOLEOJ,7822,1296,5275,38639
269,08/05/1980,O2QFS3RZKB68UJKRWM61,6484,9539,4633,33447
270,29/02/1979,92IUNB90RTASH48YO4W6,1419,3561,1679,47757
271,06/04/1984,ZVKHZEJ5JT7U03OEVS7Q,7515,2369,3226,38915
272,27/11/2003,LMH5H7BZYRHFVVJETM56,9072,6796,6402,6270
273,13/03/1994,U84EFXH6SNQ6CFL426JJ,2125,1621,4758,1100
274,04/01/1986,C0UTJ8SWAXDLD0CW092E,2407,5670,631,24647
275,03/02/1997,FTF8BXE6DN6PH39Y09DS,6377,5003,7370,48784
276,08/05/1993,UDMS8EUWJNM4U9CCF0K5,6904,1210,641,10803
277,05/03/1983,3Z204WQB8XTWYLLYLDUP,4175,7351,2690,25592
278,26/10/1985,JZ9XXE52X5R6WO8LC598,6955,608,32,14254
279,14/01/1985,YQHDGBW4BDCW406AQQR7,9281,9744,8166,3742
280,15/02/2003,J3PKESUBPUWJP22IWHOH,5681,2434,489,4491
281,27/03/1986,8191GCHT2Q62FVW6VTXO,390,2032,2981,5283
282,15/11/1997,QEVPW59H88ONDDPR07A3,683,3702,2979,9571
283,04/12/1980,6NCFJX52AEHALXNLIZPZ,6680,5196,2565,30260
284,06/09/1980,SB51FPGMTMYXBQNQTE41,1564,1371,7785,12115
285,29/08/1987,LWXJMJXX3NYSCL38F0GB,4280,3232,3210,20492
286,18/02/1995,TRCL8AOTW59ZS9BJIEB5,6748,5473,8899,48085
287,08/12/1991,XMOD95E3ZWC5M9K7FK5P,1993,3330,2730,28703
288,09/06/1984,W6XMJ7YHKK49Q7RUG1MO,2380,8804,6492,46094
289,11/07/1990,2SLQ8ZII1F4S6D3LH4P0,7305,9379,4268,38500
290,10/12/1982,SBUV1UYHUD6XZK23HC43,2318,5856,2752,23122
291,15/03/2001,WJ5834IDGHSFZQV1YK0V,265,8767,4942,20317
292,02/10/1999,63YUDTF97I83Z217QGI5,6068,2304,4754,46231
293,03/09/1979,6VRYGO895707HLTTVXDP,2080,305,5873,9687
294,23/10/1999,40C3MZR2K756U5VTNK20,2442,6142,9396,9500
295,08/11/2002,JG19QEZX7UJ3JQABZ15H,9136,1120,6946,48288
296,11/10/1988,IGOQQTATK5NZRKE9MSD5,1637,5065,71,28391
297,25/06/1998,UF6RBNWYZ37VSV1R6KQX,8289,1732,7096,46078
298,01/03/1996,FEVL8Z3BP4LNSSNFTSNT,2049,3345,9464,2849
299,29/09/1994,S21SOSC8S6GWPUCQJKVQ,6548,7220,4286,31701
300,30/06/1978,GZ9A6C9ZRARLKN7R2W2B,5597,3358,5834,34366
301,13/04/1978,3HJDO9LC56JVSC06RXSG,3058,7662,6970,1640
302,06/10/1995,DXST55ACK2U6N3Y1YJQT,6707,77,9880,30392
303,10/04/1980,O4Y0DKT0RP7VRHDUJ77R,884,9215,4830,40110
304,10/12/1995,HVE3GDZS29M8WEI5MDAV,7803,5504,4505,3011
305,13/03/1993,FSPSBOMN39GE3NUFB8F5,6068,7022,1007,3987
306,16/07/1989,V5V6Q86BRHMQGILAM2CI,2390,5770,1724,11503
307,13/05/1981,0GGEU6PK3KJIV5GK2M06,5268,4321,9600,44192
308,10/07/1989,QOBM08B0FHMI6B9NZLOL,9622,4310,6251,11536
309,22/05/2001,C7T26I85Q3156N3I1RTB,7328,189,6291,3833
310,21/08/2001,J5SZ094PYNLM97QKCPF0,7322,4142,3224,34812
311,11/03/2000,W8P0M1QZFODINJB0VWQ9,2745,5165,2089,29338
312,03/06/2000,QNK9NK050LSK6RRZ3P7C,1184,149,3624,48678
313,25/11/2004,H1LP3KD528342VUOIJ51,5373,5409,1970,23264
314,09/06/2002,4QQWA6U8M4E6WH18XNJJ,1864,7715,689,35089
315,08/12/1981,SVTCCKUW6KLZEPJWOJ44,4152,2333,2996,36407
316,26/11/1996,4FSNER3F158PJBWGZJWV,7050,6417,9807,44940
317,27/10/1998,F9A0OVJBS8Y9ZR2EV3DW,9278,4429,8464,36671
318,08/06/1989,4OHENUHZ4G9FQIES1Y1B,1122,6319,8085,31878
319,04/12/2004,L7IRGMDYUC30WDWMHQUG,4145,35,7610,25000
320,13/04/1981,5DM0EXVCRQP21J81EI9P,9662,2814,182,29474
321,11/10/1990,BPQGKKAYXVMD2PNJBY5B,3440,2972,8404,30820
322,28/05/1979,LRQMPJRFMV9IYBYMJ633,9383,5195,3535,46574
323,18/01/1991,75ZXL8ZHMHMILY6VM18Z,1033,9665,8137,10742
324,20/07/1980,1C0CKBZARJTR0MI86674,4949,5126,5519,45266
325,03/04/2001,WRO9P31LBA1UZZD4WNPY,5322,780,5172,35178
326,17/02/1989,5OBG3R3DDMFV4S35EH0Y,7833,2843,4150,16661
327,05/03/1979,WZ53JTFITJOJT12E583Z,3712,587,5371,6190
328,12/03/1985,YRFB6VQYDZ4I09YFTSRU,8849,5671,6725,20013
329,11/07/1989,D8S1UZIPQONHIL35PT49,4801,6781,5386,16654
330,12/10/2003,2ZEXZOP37AFVY0BCA5H0,6437,2397,5935,8390
331,15/06/1986,RORHKC1P6OJGD2C30FSW,1423,7846,9046,39134
332,29/05/2004,Y3AMTCA17EOTSSVJ5ZPD,9342,798,1560,12989
333,01/08/1980,1XOGHACGM11UIG084325,2290,9470,873,38723
334,07/03/2003,XWSQZ0QJV9PZF4UVX9YX,8032,7912,6327,23626
335,12/03/1991,ZPH3QCYYYAQTINN4UOXM,9064,965,3488,28536
336,28/01/2002,JZ8GJ73C59EC47RHI6T1,1150,1822,3214,33091
337,11/09/1983,M6VBPYZTLXJYZOHHY4Q4,6304,7483,7117,14007
338,27/09/2001,NI24667TKJ93SBCLRJQF,8284,9737,974,17593
339,03/11/1984,GVDIGZI3UQBJBQQI2HUC,5306,2176,3442,13764
340,13/12/2001,9V9IE5ZML76PTRPYHCHQ,5478,6035,4961,35770
